freq_GHz_auto,S11_dB_auto,freq_GHz_manual,S11_dB_manual
3.95917,-0.242,,
3.96902,-0.242,,
3.97886,-0.238,,
3.98871,-0.223,,
3.99855,-0.183,,
4.0084,-0.163,,
4.01824,-0.148,,
4.02809,-0.149,,
4.03793,-0.164,,
4.04778,-0.174,,
4.05762,-0.171,,
4.06747,-0.167,,
4.07731,-0.157,,
4.08716,-0.152,,
4.097,-0.146,,
4.10684,-0.146,,
4.11669,-0.153,,
4.12653,-0.153,,
4.13638,-0.169,,
4.14622,-0.182,,
4.15607,-0.184,,
4.16591,-0.184,,
4.17576,-0.156,,
4.1856,-0.139,,
4.19545,-0.139,,
4.20529,-0.134,,
4.21514,-0.149,,
4.22498,-0.16,,
4.23483,-0.132,,
4.24467,-0.078,,
4.25451,-0.102,,
4.26436,-0.117,,
4.2742,-0.135,,
4.28405,-0.155,,
4.29389,-0.207,,
